cohort,month,at_risk,events,survival,survival_mw_weighted
C10,86,20,0,0.2771535580524344,0.42807897949849927
C10,87,19,0,0.2771535580524344,0.42807897949849927
C10,88,18,0,0.2771535580524344,0.42807897949849927
C10,89,18,0,0.2771535580524344,0.42807897949849927
C10,90,18,0,0.2771535580524344,0.42807897949849927
C10,91,17,0,0.2771535580524344,0.42807897949849927
C10,92,17,0,0.2771535580524344,0.42807897949849927
C10,93,17,0,0.2771535580524344,0.42807897949849927
C10,94,17,0,0.2771535580524344,0.42807897949849927
C10,95,17,0,0.2771535580524344,0.42807897949849927
C10,96,17,0,0.2771535580524344,0.42807897949849927
C10,97,17,0,0.2771535580524344,0.42807897949849927
C10,98,17,0,0.2771535580524344,0.42807897949849927
C10,99,17,0,0.2771535580524344,0.42807897949849927
C10,100,17,0,0.2771535580524344,0.42807897949849927
C10,101,17,0,0.2771535580524344,0.42807897949849927
C10,102,17,0,0.2771535580524344,0.42807897949849927
C10,103,17,0,0.2771535580524344,0.42807897949849927
C10,104,17,0,0.2771535580524344,0.42807897949849927
C10,105,17,0,0.2771535580524344,0.42807897949849927
C10,106,17,0,0.2771535580524344,0.42807897949849927
C10,107,17,0,0.2771535580524344,0.42807897949849927
C10,108,17,0,0.2771535580524344,0.42807897949849927
C10,109,17,0,0.2771535580524344,0.42807897949849927
C10,110,17,1,0.2608504075787618,0.39833283617713516
C10,111,16,1,0.2445472571050892,0.38345976451645314
C10,112,15,0,0.2445472571050892,0.38345976451645314
C10,113,0,0,,
C10,114,0,0,,
C10,115,0,0,,
C10,116,0,0,,
C10,117,0,0,,
C10,118,0,0,,
C10,119,0,0,,
C10,120,0,0,,
C11,0,94,0,1.0,1.0
C11,1,94,0,1.0,1.0
C11,2,94,0,1.0,1.0
C11,3,94,1,0.9893617021276596,0.9911172298766233
C11,4,93,1,0.9787234042553192,0.9464801940807603
C11,5,92,0,0.9787234042553192,0.9464801940807603
C11,6,92,0,0.9787234042553192,0.9464801940807603
C11,7,92,0,0.9787234042553192,0.9464801940807603
C11,8,92,0,0.9787234042553192,0.9464801940807603
C11,9,92,1,0.9680851063829787,0.9420164905011741
C11,10,91,12,0.8404255319148937,0.8624596784170285
C11,11,79,27,0.5531914893617021,0.5635656230243508
C11,12,52,16,0.3829787234042553,0.3234444250804023
C11,13,36,1,0.3723404255319149,0.31451701792122966
C11,14,35,0,0.3723404255319149,0.31451701792122966
C11,15,35,0,0.3723404255319149,0.31451701792122966
C11,16,35,0,0.3723404255319149,0.31451701792122966
C11,17,35,0,0.3723404255319149,0.31451701792122966
C11,18,35,0,0.3723404255319149,0.31451701792122966
C11,19,35,0,0.3723404255319149,0.31451701792122966
C11,20,35,0,0.3723404255319149,0.31451701792122966
C11,21,35,0,0.3723404255319149,0.31451701792122966
C11,22,35,0,0.3723404255319149,0.31451701792122966
C11,23,35,0,0.3723404255319149,0.31451701792122966
C11,24,35,0,0.3723404255319149,0.31451701792122966
C11,25,35,1,0.36170212765957444,0.2877347964437119
C11,26,34,0,0.36170212765957444,0.2877347964437119
C11,27,34,0,0.36170212765957444,0.2877347964437119
C11,28,34,0,0.36170212765957444,0.2877347964437119
C11,29,34,0,0.36170212765957444,0.2877347964437119
C11,30,34,0,0.36170212765957444,0.2877347964437119
C11,31,34,0,0.36170212765957444,0.2877347964437119
C11,32,34,0,0.36170212765957444,0.2877347964437119
C11,33,34,0,0.36170212765957444,0.2877347964437119
C11,34,34,0,0.36170212765957444,0.2877347964437119
C11,35,34,0,0.36170212765957444,0.2877347964437119
C11,36,34,1,0.351063829787234,0.2810392410743325
C11,37,33,0,0.351063829787234,0.2810392410743325
C11,38,33,0,0.351063829787234,0.2810392410743325
C11,39,33,0,0.351063829787234,0.2810392410743325
C11,40,32,0,0.351063829787234,0.2810392410743325
C11,41,32,0,0.351063829787234,0.2810392410743325
C11,42,32,0,0.351063829787234,0.2810392410743325
C11,43,32,0,0.351063829787234,0.2810392410743325
C11,44,32,0,0.351063829787234,0.2810392410743325
C11,45,32,0,0.351063829787234,0.2810392410743325
C11,46,32,0,0.351063829787234,0.2810392410743325
C11,47,32,1,0.3400930851063829,0.2738894494898699
C11,48,31,0,0.3400930851063829,0.2738894494898699
C11,49,31,0,0.3400930851063829,0.2738894494898699
C11,50,31,0,0.3400930851063829,0.2738894494898699
C11,51,31,0,0.3400930851063829,0.2738894494898699
C11,52,31,0,0.3400930851063829,0.2738894494898699
C11,53,31,1,0.32912234042553185,0.2729361439452749
C11,54,30,0,0.32912234042553185,0.2729361439452749
C11,55,30,0,0.32912234042553185,0.2729361439452749
C11,56,30,0,0.32912234042553185,0.2729361439452749
C11,57,30,0,0.32912234042553185,0.2729361439452749
C11,58,30,0,0.32912234042553185,0.2729361439452749
C11,59,30,0,0.32912234042553185,0.2729361439452749
C11,60,30,0,0.32912234042553185,0.2729361439452749
C11,61,30,0,0.32912234042553185,0.2729361439452749
C11,62,30,0,0.32912234042553185,0.2729361439452749
C11,63,30,0,0.32912234042553185,0.2729361439452749
C11,64,30,0,0.32912234042553185,0.2729361439452749
C11,65,30,0,0.32912234042553185,0.2729361439452749
C11,66,30,0,0.32912234042553185,0.2729361439452749
C11,67,30,0,0.32912234042553185,0.2729361439452749
C11,68,30,0,0.32912234042553185,0.2729361439452749
C11,69,30,0,0.32912234042553185,0.2729361439452749
C11,70,30,0,0.32912234042553185,0.2729361439452749
C11,71,30,0,0.32912234042553185,0.2729361439452749
C11,72,30,0,0.32912234042553185,0.2729361439452749
C11,73,30,0,0.32912234042553185,0.2729361439452749
C11,74,30,0,0.32912234042553185,0.2729361439452749
C11,75,30,0,0.32912234042553185,0.2729361439452749
C11,76,30,0,0.32912234042553185,0.2729361439452749
C11,77,30,0,0.32912234042553185,0.2729361439452749
C11,78,29,0,0.32912234042553185,0.2729361439452749
C11,79,29,0,0.32912234042553185,0.2729361439452749
C11,80,29,0,0.32912234042553185,0.2729361439452749
C11,81,28,0,0.32912234042553185,0.2729361439452749
C11,82,28,0,0.32912234042553185,0.2729361439452749
C11,83,27,0,0.32912234042553185,0.2729361439452749
C11,84,27,0,0.32912234042553185,0.2729361439452749
C11,85,27,0,0.32912234042553185,0.2729361439452749
C11,86,27,1,0.3169326241134751,0.26866594246159825
C11,87,26,0,0.3169326241134751,0.26866594246159825
C11,88,25,1,0.3042553191489361,0.2595948908158513
C11,89,24,0,0.3042553191489361,0.2595948908158513
C11,90,24,0,0.3042553191489361,0.2595948908158513
C11,91,24,0,0.3042553191489361,0.2595948908158513
C11,92,23,0,0.3042553191489361,0.2595948908158513
C11,93,23,0,0.3042553191489361,0.2595948908158513
C11,94,23,0,0.3042553191489361,0.2595948908158513
C11,95,23,0,0.3042553191489361,0.2595948908158513
C11,96,23,0,0.3042553191489361,0.2595948908158513
C11,97,23,1,0.29102682701202587,0.22842654833964207
C11,98,21,0,0.29102682701202587,0.22842654833964207
C11,99,21,0,0.29102682701202587,0.22842654833964207
C11,100,20,0,0.29102682701202587,0.22842654833964207
C11,101,20,0,0.29102682701202587,0.22842654833964207
C11,102,0,0,,
C11,103,0,0,,
C11,104,0,0,,
C11,105,0,0,,
C11,106,0,0,,
C11,107,0,0,,
C11,108,0,0,,
C11,109,0,0,,
C11,110,0,0,,
C11,111,0,0,,
C11,112,0,0,,
C11,113,0,0,,
C11,114,0,0,,
C11,115,0,0,,
C11,116,0,0,,
C11,117,0,0,,
C11,118,0,0,,
