node_key,poi_base,lat,lon,osm_name,geo_score,geo_method
IMPERIAL VALLEY MIGUEL,IMPERIAL VALLEY - MIGUEL,32.6984666,-116.34969875,Imperial Valley Substation | Miguel Substation,1.0,line-midpoint
IMPERIAL VALLEY MIGUEL TRANS,,,,,0.0,none
INTERCONNECTION ON SITE,INTERCONNECTION ON SITE,,,,0.5,none
INYOKERN,INYOKERN SUBSTATION,35.6526475,-117.7958919,Inyokern Substation,1.0,exact
INYOKERN RANDSBURG,INYOKERN-RANDSBURG,35.6526475,-117.7958919,Inyokern Substation,0.7,line-one-end
INYOKERN SUBSTATION115 KV,INYOKERN SUBSTATION,35.6526475,-117.7958919,Inyokern Substation,1.0,exact
IRON MOUNTAIN,IRON MOUNTAIN SUBSTATION,36.3225741,-115.2082305,Iron Mountain Substation,1.0,exact
HUMBOLDT BAY,HUMBOLDT BAY POWER PLANT SUB,,,,0.8,none
HALF MOON BAY,HALF MOON BAY SUBSTATION,37.4689833,-122.4302864,Half Moon Bay Substation,1.0,exact
HALSEY,HALSEY SUBSTATION,,,,0.8,none
HAMMOND,HAMMOND SUB,,,,0.67,none
HANFORD,HANFORD SWITCHYARD,36.3235784,-119.6488609,Hanford Substation,1.0,exact
HARBOR COGENERATION FACILITY,HARBOR COGENERATION FACILITY,,,,0.35,none
HARBORGEN,HARBORGEN SUBSTATION,33.778822,-118.2273435,HarborGen Substation,1.0,exact
HARDWICK,HARDWICK,,,,0.75,none
HARQUAHALA,HARQUAHALA SUBSTATION,,,,0.59,none
HARRY ALLEN ELDORADO,HARRY ALLEN-ELDORADO,36.1123678,-114.95770565000001,Harry Allen Substation | Eldorado Substation,1.0,line-midpoint
HASSAYAMPA HOODOO WASH,HASSAYAMPA-HOODOO WASH,,,,0.63,none
HASSAYAMPA N GILA,HASSAYAMPA - N. GILA,,,,0.8,none
HASSAYAMPA NORTH GILA,HASSAYAMPA-NORTH GILA,32.7456924,-114.4912811,North Gila Substation,0.7,line-one-end
HENRIETTA TULARE,HENRIETTA TULARE,,,,0.72,none
HELM,HELM SUBSTATION,,,,0.67,none
HELM FIREBAUGH,HELM-FIREBAUGH,,,,0.67,none
HELM PANOCHE AND PANOCHE KEARNEY,HELM-PANOCHE,36.6523145,-120.5815969,Panoche Substation,0.7,line-one-end
HELM STROUD,HELM-STROUD SW STA,,,,0.67,none
HELM VALLEY NITROGEN,TAP HELM-VALLEY NITROGEN,36.549599,-120.1113287,Valley Nitrogen,0.7,line-one-end
HELMS SCHINDLER,HELMS-SCHINDLER,,,,0.62,none
HENREITTA GWF,HENREITTA-GWF,,,,0.89,none
HENRIETTA GUERNSEY,HENRIETTA-GUERNSEY,36.2421264,-119.9028971,Henrietta Substation,0.7,line-one-end
HENRIETTA GWF,HENRIETTA-GWF,36.2421264,-119.9028971,Henrietta Substation,0.7,line-one-end
HENRIETTA JACOBS CORNER,HENRIETTA-JACOBS CORNER,36.2421264,-119.9028971,Henrietta Substation,0.7,line-one-end
HENRIETTA LEMOORE,HENRIETTA - LEMOORE,36.2421264,-119.9028971,Henrietta Substation,0.7,line-one-end
HENRIETTA LEPRINO FOOD,HENRIETTA-LEPRINO FOOD,36.2421264,-119.9028971,Henrietta Substation,0.7,line-one-end
HENRIETTA SUBSTANTION,HENRIETTA SUBSTANTION,,,,0.6,none
HELIJET LITTLE ROCK PALMDALE ROCKAIR,HELIJET-LITTLE ROCK-PALMDALE-ROCKAIR,,,,0.67,none
