poi_base,county,utility,active_projects,active_mw,active_storage_mw,full_capacity_mw,energy_only_mw,withdrawn_projects,withdrawn_mw,completed_mw,churn_ratio
VALLEY SUBSTATION,NYE,VEA,1.0,50.0,40.0,0.0,0.0,2.0,70.0,50.0,0.7
GOLD HILL,SACRAMENTO,PGAE,1.0,49.9,58.8,49.9,0.0,0.0,0.0,0.0,0.0
GREENLEAF #1,SUTTER,PGAE,1.0,49.0,50.5,0.0,49.0,0.0,0.0,0.0,0.0
HENRIETTA-LEMOORE NAS,KINGS,PGAE,1.0,40.0,21.0,0.0,40.0,0.0,0.0,0.0,0.0
TAFT-CUYAMA #1,SAN LUIS OBISPO,PGAE,1.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0
ESCONDIDO SUBSTATION,SAN DIEGO,SDGE,1.0,33.0,33.0,33.0,0.0,3.0,600.0,0.0,18.2
GIFFEN,FRESNO,PGAE,1.0,25.0,25.5,25.0,0.0,0.0,0.0,0.0,0.0
TULUCAY,NAPA,PGAE,1.0,24.5,0.0,24.5,0.0,0.0,0.0,0.0,0.0
MIDWAY-TEMBLOR,KERN,PGAE,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
SALADO-NEWMAN #1,STANISLAUS,PGAE,1.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0
HOODOO WASH SWITCHYARD,MARICOPA,SDGE,1.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
MIDWAY TEMBLOR,KERN,PGAE,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
BELRIDGE - TEMBLOR,KERN,PGAE,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULTE SWITCHING STATION,SAN JOAQUIN,PGAE,1.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
HENRIETTA-TULARE LAKE,KINGS,PGAE,1.0,20.0,20.0,0.0,20.0,1.0,20.0,20.0,0.5
ALTAMONT MIDWAY,ALAMEDA,PGAE,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
VOTA-SOUTH,TEHAMA,PGAE,1.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0
VOLTA-SOUTH,TEHAMA,PGAE,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
NEW SUBSTATION ON NORTH GILA-IMPERIAL VALLEY,IMPERIAL,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,600.0,0.0,
MUSTANG SWITCHYARD,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
MUSTANG SWITCHING STATION,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,300.0,0.8
NEW SUBSTATION TO LOOP IN TL2330 TALEGA- ESCONDIDO,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,523.0,0.0,
NEW SUBSTATIONS SAN LUIS-MELROSE,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
NORTH GILA-IMPERIAL VALLEY,IMPERIAL,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,726.4,0.0,
NEW WHEELER RIDGE JUNCTION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
NORTH ISLAND METERING STATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,4.7,0.0,
NEW SWITCHYARD ON LOS ESTEROS-TRIMBLE LINE,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
NEW SWITCHYARD TO LOOP THE ECO-MIGUEL,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
OAKLAND C,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,375.0,0.0,
NEW KEARNY SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
NEWHALL SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,
NEENACH SUBSTATION,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,4.0,138.5,0.0,
NEW IVANPAH SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,3.0,66.0,0.0,
NEW,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,964.0,0.0,
NORTH GILA SUBSTATION,YUMA,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
NEW FAIRFIELD SUBSTATION,SOLANO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,575.0,0.0,
NEENACH-ANTELOPE,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
NEW DOUBLE CIRCUIT,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,620.0,0.0,
NICOLAUS-MARYSVILLE,YUBA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,
NEW 230/,BAJA CALIFORNIA,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
NEWARK STATION,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
NEW,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,
NEWARK SUBSTATION,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,830.0,0.0,
NORTH GILA-HASSAYAMPA,MARICOPA,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
ORO LOMA - PANOCHE,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,
OAKLAND C SUB VIA OAKLAND C-TURBINE,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,
OAKLAND C SUBSTATION,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
PALA SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0
PALERMO,BUTTE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
PALO VERDE DEVERS #2 LINE,LA PAZ,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
PALO VERDE DEVERS #2 LINE,MARICOPA,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
PALO VERDE-DEVERS #1,MARICOPA,SCE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
PALO VERDE-DEVERS #1,YUMA,SCE,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.0,
PALOMAR ENERGY SWITCHYARD,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,0.0
PANOCHE,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,1048.1,427.0,2.4
PANOCHE - ORO LOMA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,120.0,0.0,
PANOCHE - TRANQUILITY #1,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
PANOCHE SUBSTATION,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
PANOCHE-MENDOTA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
PANOCHE-ORO LOMA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,
PANOCHE-SCHINDLER #1 & #2,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,578.0,0.0,
PANOCHE-SCHINDLER #2,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,63.0,0.0,
PARADISE  SUBSTATION,BUTTE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,101.2,0.0,
PARDEE-VINCENT NO1,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
PASTORIA SUBSTATION,KERN,SCE,0.0,0.0,0.0,0.0,0.0,3.0,957.0,155.2,6.2
PASTORIA-MAGUNDEN,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
PATTERSON PASS,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
PEASE,SUTTER,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,74.4,0.0,
PENASQUISTOS OLD TOWN,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,315.0,0.0,
PENDLETON SUB,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,
PG&E ARCO SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,158.1,0.0,
PG&E ARMSTRONG,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
PG&E CORCORAN-GUERNSEY,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.2,0.0,
PG&E KEARNEY SUB,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.6,0.0,
PALA - LILAC,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
PALA,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,3.0,186.9,0.0,
OXBOW,CHURCHILL,SCE,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0.0,
OLIVE SWITCH STATION - SMYRNA,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
OAKLAND J,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,153.0,0.0,
OAKLAND J - GRANT,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
OAKLAND J-GRANT,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
OAKLAND STATION C,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,
OASIS-TORTOISE,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
OCEAN RANCH SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,3.0,241.1,0.0,
OCEANSIDE TAP - STUART TAP,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
OLD RIVER - KERN #1,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
OLD RIVER SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
OLIVE,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,160.0,40.0,4.0
OLIVE SUBSTATION,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,240.0,0.0,
OLIVE SW STATION-SMYRNA,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
