poi_base,county,utility,active_projects,active_mw,active_storage_mw,full_capacity_mw,energy_only_mw,withdrawn_projects,withdrawn_mw,completed_mw,churn_ratio
TASSAJARA - NEWARK,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
TAP VACA-RIO OSO,YOLO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
TAP ON MARICOPA-COPUS LINE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,76.1,0.0,
VACA-LAKEVILLE #1,NAPA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
VACA-TESLA,SOLANO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
VACA-VACAVILLE-JAMESON-NORTH TOWER,SOLANO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,115.0,0.0,
WEEDPATCH - SAN BERNARD,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
WHIRLWIND,KERN,SCE,0.0,0.0,0.0,0.0,0.0,5.0,710.6,189.0,3.8
WHEELER RIDGE-TEJON,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,98.0,0.0,
WHEELER RIDGE-MIDWAY,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,180.5,0.0,
WHEELER RIDGE-LAMONT,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
WHEELER RIDGE-LAKEVIEW,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WHEELER RIDGE SUB,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WHEATON SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,
WESTWOOD SUBSTATION,LASSEN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,
WESTWOOD,LASSEN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,
WESTPARK-MAGUNDEN,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WESTLEY-QUINTO,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
WESTLANDS,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WESTFIELD SUB,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WEST FRESNO SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,175.0,0.0,
WESIX,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
WHIRLWIND - WINDHUB,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
WHIRLWIND SUB,KERN/LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,
WHIRLWIND SUBSTATION,KERN/LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,1150.0,0.0,
WINDHUB SUB,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,80.0,500.0,0.2
YUBA CITY COGEN TAP LINE-PEASE,YUBA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
WOODWARD-SANGER,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WOODLAND-DAVIS,YOLO,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,141.0,0.0,
WOODLAND - ZAMORA - RIO OSO #2,YOLO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
WINHUB,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WINDMASTER/BUENA VISTA SUB,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,0.0
WINDHUB,KERN,SCE,0.0,0.0,0.0,0.0,0.0,3.0,1250.0,0.0,
WHIRLWIND SUBSTATION,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,4.0,842.0,250.0,3.4
WILSON-ORO LOMA,MADERA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,
WILSON SUBSTATION,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,725.0,0.0,
WILSON - LE GRAND,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,102.3,0.0,
WILDLIFE SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
WHIRLWIND-WINDHUB,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
WHIRLWIND SUBSTATION,ROSAMOND,SCE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
WEEDPATCH-WHEELER RIDGE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WEBER SUBSTATION,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,
VALLEY CENTER,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WAUKENA SWITCHING STATION,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,19.8,0.0,
VICTOR SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,7.0,1740.0,200.0,8.7
VICTOR SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,
VICTOR,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
VESTAL-MAGUNDEN #2,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,86.0,0.0,
VESTAL SUB,FRESNO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,320.0,0.0,
VESTAL,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
VENWIND PORTION OF DEVERS-GARNETT-VENWIND LINE,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
VEA SANDY VALLEY,CLARK,VEA,0.0,0.0,0.0,0.0,0.0,1.0,152.7,0.0,
VASCO-HERDLYN,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0
VASCO,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
VALLEY SPRINGS-MARTEL #2,AMADOR,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0
VALLEY SPRINGS SUBSTATION,CALAVERAS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
VALLEY SPRINGS MARTEL #2,AMADOR,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,16.3,0.0,
VALLEY SPRINGS #2,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,
VALLEY CENTER SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0
VICTOR SUBSTATION,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
VICTORVILLE SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,570.0,0.0,
VILLA PARK SUBSTATION,ORANGE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
VISTA SUBSTATION,NYE,VEA,0.0,0.0,0.0,0.0,0.0,4.0,206.4,0.0,
WAUKENA SUBSTATION,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,110.0,0.0,
WARNERS SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
WARNERS,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
WARNER SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,58.8,0.0,
VOLTA/SOUTH,TEHAMA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.0,
VISTA SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,402.0,0.0,
VISTA SUBSTATION,NYE,GLW,0.0,0.0,0.0,0.0,0.0,1.0,220.0,0.0,
VINCENT,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,82.0,0.0,
VISTA - MIRA LOMA,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
VINCENT-LUGO,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
VINCENT SUBSTATION,,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
VINCENT SUB,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,570.0,0.0,
VINCENT SUB,KERN,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
VINCENT,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
SUNRISE POWERLINK,IMPERIAL,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,16.1,0.0,
SUBSTATION 5 (AKA WHIRLWIND),KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
PG&E VALLEY SPRINGS #2,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
RIO OSO-LOCKFORD,PLACER,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,220.0,0.0,
RIO OSO SUBSTATION,SUTTER,PGAE,0.0,0.0,0.0,0.0,0.0,5.0,1020.0,0.0,
RIO OSO - WOODLAND #1,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,101.9,0.0,
RIO DELL SUBSTATION,HUMBOLDT,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,56.8,0.0,
RIO DEL JUNCTION - BRIDGEVILLE,HUMBOLDT,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,
RIO BRAVO TOMATO SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
REDONDO BEACH SWITCHING STATION,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,475.7,0.0,
REDONDO BEACH GENERATING STATION,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
REDMAN-PIUTE,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,2.0,35.0,0.0,
REDMAN-LANCASTER,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,
REDMAN SUBSTATION,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,
REDBUD-CORTINA,COLUSA/LAKE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,66.2,0.0,
RED BLUFF SWITCHYARD,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
RED BLUFF SUB,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,170.0,150.0,1.1
RED BLUFF,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,2.0,227.3,213.5,1.1
RATTLESNAKE SWITCHYARD,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
RIO OSO-ATLANTIC,PLACER,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
ROSAMOND,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
STROUT SW STATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,
ROSAMOND-CAL CEMENT,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,
SAN LUIS REY SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,4.0,734.0,0.0,
SAN LUIS OBISPO-TREMBLOR,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
SAN BERNARDINO SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,38.0,7.9
SAN BERNADINO 220+M,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
SAN BERNADINO,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,550.0,0.0,
SAN BENITO - HOLLISTER,SAN BENITO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,101.5,0.0,
SALT CREEK SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,2.0,120.0,0.0,
SALADO-MILLER,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,
SALADO- NEWMAN,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SALADO SUBSTATION,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,150.4,0.0,
SALADO - NEWMAN,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
ROUND MOUNTAIN SUBSTATION,HUMBOLDT,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,3000.1,0.0,
ROUND MOUNTAIN,SHASTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
ROSAMOND-DEL SUR,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
ROSAMOND-CORUM,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,
RANCHO VISTA,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,504.0,0.0,
RANCHO MISSION VIEJO SUBSTATION,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
QUINTO SWITCHING STATION,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
QUINTO SUBSTATION,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
PITTSBURGH - GWF TAP #1,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
PITTSBURG-TESLA,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,
PITTSBURG-KIRKER-COLUMBIA STEEL,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,20.0,10.0
PITTSBURG SWITCHYARD,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,81.1,0.0,
PITTSBURG SUBSTATION,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,5.0,1239.0,72.0,17.2
PITTSBURG - KIRKER - COLUMBIA STEEL,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
PIT#1-PIT#3,MODOC/SISKIYOU,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,132.0,0.0,
PIT RIVER 1-COTTONWOOD,SHASTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,138.0,0.0,
PIT 1-COTTONWOOD,SHASTA,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,275.0,0.0,
PIT #3-ROUND MOUNTAIN,SHASTA,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0
PIT #3 ROUND MOUNTAIN,SHASTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,350.0,0.0,
PISGAH-LUGO,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,752.0,0.0,
PISGAH SUB,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,3.0,1650.0,0.0,
PISGAH,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,3.0,1229.0,0.0,
PIERCY SUBSTATION,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
PITTSBURGH SUBSTATION,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
PIUTE SUB,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
PIUTE-LANCASTER,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,
POTRERO,SAN FRANCISCO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,145.1,0.0,
LOOP TESLA STAGG AND TESLA-EIGHT MILE,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,315.0,0.0,
Q1244 SWITCHING STATION,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,400.0,0.0,
PROPOSED SWITCH STATION ON THE HASSAYAMA-NORTH GILA BEND,MARICOPA,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
PROPOSED MIDPOINT SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,700.0,0.0,
PROPOSED ELDORADO-IVANPAH,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
PRIMM SUBSTATION,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
POMERADO SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,25.0,100.0,0.2
PIUTE-REDMAN,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,2.0,140.0,0.0,
POINT LOMA SUBSTATION,SAN DIEGO,,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,
POINT ARENA SUBSTATION,MENDOCINO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
PLUTE-LANCASTER,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,
PLEASANT GROVE SUBSTATION,PLACER,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
PLEASANT GROVE SUB STATION,PLACER,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,116.8,0.0,
PIUTE-REDMOND,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SAN LUIS REY-MELROSE,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,98.8,0.0,
SAN LUIS REY-PENDLETON,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
SAN LUIS REY-STUART,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,49.9,0.0,
SEMITROPIC-MIDWAY #2,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
SOLADO SUB,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,
SOBRANTE - STANDARD OIL SWITCHING STN #1,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
SMYRNA-ALPAUGH,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.8,0.0
SMYRNA SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,176.0,0.0,
SMYRNA SUB,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
SMYRNA - SEMITROPIC - MIDWAY #1,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SMYRNA - SEMITROPIC - MIDWAY,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,
SMARTVILLE-CAMP FAR WEST,PLACER,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,19.7,0.0,
SLO TO OCEANO,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SISQUOC SUBSTATION,SANTA BARBARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
SILVERGATE SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,200.0,1.0
SILVER QUEEN-GOLDTOWN,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,
SHINGLE SPRINGS SUBSTATION,EL DORADO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,
SHADOWRIDGE SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,101.1,0.0,
SF AIRPORT SUBSTATION,SAN FRANCISCO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,48.7,0.0,
SOLAR SWITCHING STATION,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,130.0,0.0,
SOLARSS SWITCHING STATION,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
SOLEDAD SUBSTATION,MONTEREY,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,
STANISLAUS - MANTECA #2,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
STROUD SWITCHING STATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,5.0,20.4,18.5,1.1
STROUD SW STA-SCHINDLER,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
STROUD SW STA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
STROUD,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,40.1,0.0,
STOCKTON¿A¿-LOCKEFORD-BELLOTA,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,211.0,0.0,
STOCKTON A #1 LINE,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
STANDARD OIL SWITCHING STATION,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SOUTHWEST POWER LINK,IMPERIAL,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,375.0,0.0,
SPRINGVILLE-RECTOR,TULARE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,240.0,0.0,
SPRINGVILLE SUB,TULARE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
SPRINGERVILLE MUGUNDEN,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,725.0,0.0,
SPRING VALLEY SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,
SPI,PLUMAS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,
SPENCE SUBSTATION,MONTEREY,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
SERRANO SUBSTATION,ORANGE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
SEMITROPIC-MIDWAY,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
SAN LUIS REY¿MISSION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,315.0,0.0,
SEMITROPIC SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
SCE PORTION OF KRAMER BLM WEST,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
SCE OWNED ELDORADO,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
SCE MOHAVE SUBSTATION,MOHAVE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,550.0,0.0,
SCE HIGHWIND SUBSTATION,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,483.0,0.0,
SCE HIGHWIND SUB #2 (PROPOSED),KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,362.0,0.0,
SANTA ROSA-CORONA,SONOMA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,210.0,0.0,
SANTA NELLA-CANAL,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
SANTA MARIA COGEN TAP,SANTA BARBARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
SANTA MARIA COGEN,SANTA BARBARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,
SANTA CLARA SUBSTATION,VENTURA,SCE,0.0,0.0,0.0,0.0,0.0,4.0,1707.0,0.0,
SANGER-REEDLEY,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,58.3,0.0,
SANGER CO-GEN 115/13.8KV SUB,,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,48.3,0.0,
SANDLOT SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
SAN YSABEL SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SAN ONOFRE NUCLEAR GENERATING STATION,SAN DIEGO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,
SCE RANCHO VISTA,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,698.0,0.0,
SCE VALLEY SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0.0
SCE WHIRLWIND SUBSTATION,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,312.2,0.0,
SCRIPPS SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,
SEMITROPIC MIDWAY #2,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SEMITROPIC  - MIDWAY #1,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
SEMITROPIC,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.8,0.0,
SEGMENT 3 230 COLLECTOR LOOP TEHACHAPI,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,
SDG&E PALA SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,
SDG&E MARGARITA SUBSTATION,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,
SCHULTE SUB,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
SCHINDLER,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
SCHINDLER-HURON-GATES TAP,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
SCHINDLER-HURON-GATES,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
SCHINDLER-COALINGA #2,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
SCHINDLER TRANSMISSION LINE TAP,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,42.1,0.0,
SCHINDLER SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,5.0,230.0,0.0,
SCHINDLER SUB,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,4.0,260.0,0.0,
LOOP TESLA-STAGG AND TESLA-EIGHT MILE,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
LANCASTER-LITTLE ROCK-PIUTE,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,6.0,320.0,0.0,
LOOP TALEGA-ESCONDIDO,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,98.8,0.0,
COOLEY LANDING,SAN MATEO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,85.0,0.0,
