@id,@type,@lat,@lon,name,voltage,operator,substation
480794378,way,38.7755142,-121.8581049,Zamora Substation,115000,Pacific Gas and Electric Company,minor_distribution
483456583,way,40.6480024,-116.9452682,Battle Mountain Substation,115000,,distribution
488176002,way,40.5864304,-122.3952371,Oregon Street Substation,,,
488956745,way,37.7793330,-122.2927222,Cartwright Substation,115000,Alameda Municipal Power,
490201586,way,39.9110606,-121.3275598,Bucks Creek Switchyard,230000,Pacific Gas and Electric Company,generation
490201999,way,39.9053718,-121.3455863,Rock Creek Switchyard,,,generation
495721241,way,36.1087346,-115.1849496,Polaris Substation,138000,Nevada Power Company,
501037230,way,40.6018648,-122.3827991,Sulphur Creek Substation,,,
501515904,way,33.5263975,-117.5987290,Rancho Mission Viejo Substation,,,
501515905,way,33.4094774,-117.5906855,San Mateo Substation,,,
501515906,way,33.4949278,-117.7029399,Laguna Niguel Substation,,,
507591114,way,33.6988312,-115.3128761,Red Bluff Substation,500000;220000,Southern California Edison,transmission
507821441,way,40.9290335,-121.5444409,Rising River Substation,60000,,
507836289,way,37.6375258,-120.9540579,Lapham Station,,Modesto Irrigation District,yes
507843487,way,37.6275639,-120.9751483,Santa Cruz Station,,Modesto Irrigation District,
508412939,way,34.6432014,-120.4372204,Cabrillo Substation,115000,,distribution
516299798,way,36.5998457,-121.8905459,PG&E Power Distribution Sub-Station,,Pacific Gas and Electric Company,
518058316,way,38.5089935,-121.3552093,Hedge Substation,230000,Sacramento Municipal Utility District,transmission
518059531,way,38.6571279,-121.1321019,Lake Substation,230000,Sacramento Municipal Utility District,transmission
523536902,way,39.5412250,-119.0751839,Hazen,60000,,
525114347,way,40.5838840,-122.4377157,Eureka Way Substation,69000,,
530977942,way,41.3823797,-118.0331578,Davey Town Substation,,,
532400091,way,36.1026079,-115.1798290,Sinatra Substation,,,
532629908,way,38.3788375,-122.7125989,Bellevue Substation,110000,Pacific Gas and Electric Company,yes
533316822,way,34.2419899,-118.5685251,Distributing Station No. 138,34500;4800,Los Angeles Department of Water and Power,distribution
538426965,way,40.6335498,-122.3918950,Beltline Substation,,,
539148054,way,37.4205581,-121.9599446,Nortech Substation,115000,Pacific Gas and Electric Company,
540298861,way,37.7630288,-122.2144359,Oakland J Substation,115000;12000;7200,Pacific Gas and Electric Company,distribution
542978042,way,34.2330139,-118.3690881,DISTRIBUTING STATION 102,34500;4800,Los Angeles Department of Water and Power,distribution
542998185,way,35.8847198,-114.9582033,Copper Mountain Substation,500000,Western Area Power Administration,transmission
543902233,way,32.6689068,-114.4306641,Foothills Substation,69000,,distribution
543902240,way,32.6479874,-114.4275379,Desert Sands Substation,69000,,transmission
544261596,way,34.4491171,-119.8159165,Vegas Substation,,Southern California Edison,
548186660,way,34.1289191,-117.3043189,Sixteenth Street Substation,33000,,
551396627,way,35.6409768,-115.3493160,Primm Substation,230000,,
552653455,way,37.1199840,-121.0689671,Quinto Substation,230000,Pacific Gas and Electric Company,transmission
553900343,way,38.6435071,-121.3290918,Carmichael Substation,230000,Sacramento Municipal Utility District,
558306842,way,32.6595065,-115.4371267,Subestacion CFE Cuahutemoc Sur,,,
559656173,way,32.4974465,-114.7603884,San Luis Substation,69000;34500,,distribution
560590098,way,32.6852624,-114.4950303,Redondo Substation,69000,,distribution
567612415,way,36.1744348,-115.1153053,Artesian Substation,138000;69000,,
574510301,way,34.0528949,-118.4158692,DWP Sub 7,,,
577517040,way,39.8038669,-120.4644735,Portola Substation,60000,Plumas-Sierra Rural Electric Cooperative,minor_distribution
580855917,way,37.7774077,-122.4127449,Station I,,Pacific Gas and Electric Company,distribution
592205752,way,36.8817124,-121.6032588,Brigatano Substation,60000,,
592205775,way,36.9601240,-122.0525657,Cliff Drive Substation,,,
593523181,way,34.2016722,-118.5560536,LADWP Distributing Station No. 90,34500;4800,Los Angeles Department of Water and Power,distribution
597082183,way,33.8037966,-117.9077378,Harbor Substation,69000;12000,,
597452230,way,34.6884003,-118.3145591,Plainview,69000,,
597452232,way,34.6857691,-118.3043874,Big Sky Substation,220000;34500,AES Corporation,generation
605638002,way,32.4954326,-114.7171173,Baja Substation,69000,,distribution
605835953,way,40.5257728,-122.4281415,Texas Springs Substation,69000,,
606129587,way,37.8646646,-122.0804497,Rossmoor Substation,230000;12000,Pacific Gas and Electric,distribution
606138003,way,37.8835998,-122.1935090,Orinda Substation,12000;4000,Pacific Gas and Electric Company,distribution
606138004,way,37.8764730,-122.1796979,Bryant Substation,12000;4000,Pacific Gas and Electric Company,distribution
606154506,way,37.8723890,-122.2783135,Berkeley F Substation,,Pacific Gas and Electric,distribution
